phc_id,phc_name,state,district,latitude,longitude,facility_type,total_beds,occupied_beds,icu_beds
PHC-001,Ludhiana Rural Health Centre,Punjab,Ludhiana,30.7621,75.6472,District Hospital,68,42,10
PHC-002,Ludhiana Central Health Centre,Punjab,Ludhiana,30.0602,75.1716,District Hospital,60,54,8
PHC-003,Amritsar Rural Health Centre,Punjab,Amritsar,31.7901,76.182,Rural,22,13,0
PHC-004,Jalandhar Rural Health Centre,Punjab,Jalandhar,30.7728,76.7685,District Hospital,108,84,5
PHC-005,Jalandhar Central Health Centre,Punjab,Jalandhar,31.6209,76.5709,Rural,21,17,0
PHC-006,Jalandhar Rural Health Centre,Punjab,Jalandhar,30.7717,74.858,District Hospital,76,72,4
PHC-007,Ludhiana Central Health Centre,Punjab,Ludhiana,31.5111,76.3925,Rural,97,78,9
PHC-008,Mohali Rural Health Centre,Punjab,Mohali,30.7963,74.8345,Urban,141,107,7
PHC-009,Ludhiana Central Health Centre,Punjab,Ludhiana,31.2729,75.1035,Urban,145,89,10
PHC-010,Mohali Central Health Centre,Punjab,Mohali,30.98,75.6755,Urban,123,102,8
PHC-011,Patiala Central Health Centre,Punjab,Patiala,31.5828,75.0269,District Hospital,43,19,0
PHC-012,Ludhiana Central Health Centre,Punjab,Ludhiana,31.1997,76.5035,District Hospital,106,80,6
PHC-013,Ludhiana Rural Health Centre,Punjab,Ludhiana,30.2984,75.5694,Rural,84,59,4
PHC-014,Ludhiana Rural Health Centre,Punjab,Ludhiana,30.1167,75.2676,District Hospital,117,94,5
PHC-015,Jalandhar Rural Health Centre,Punjab,Jalandhar,30.1199,76.5329,Urban,53,38,2
PHC-016,Jalandhar Rural Health Centre,Punjab,Jalandhar,30.6975,76.2592,Urban,125,85,7
PHC-017,Mohali Rural Health Centre,Punjab,Mohali,31.4537,75.9352,Rural,60,56,5
PHC-018,Mohali Rural Health Centre,Punjab,Mohali,30.5205,75.479,Rural,40,27,0
PHC-019,Ludhiana Central Health Centre,Punjab,Ludhiana,31.8648,74.9687,Rural,135,122,5
PHC-020,Mohali Rural Health Centre,Punjab,Mohali,31.8689,75.7234,Urban,69,32,9
PHC-021,Nagpur Rural Health Centre,Maharashtra,Nagpur,18.4753,72.2437,District Hospital,128,80,4
PHC-022,Varanasi Rural Health Centre,Uttar Pradesh,Varanasi,25.8876,80.2989,Urban,137,55,3
PHC-023,Coimbatore Rural Health Centre,Tamil Nadu,Coimbatore,10.1648,77.9069,Urban,112,53,9
PHC-024,Malda Rural Health Centre,West Bengal,Malda,22.5341,86.9483,District Hospital,38,23,0
PHC-025,Udaipur Rural Health Centre,Rajasthan,Udaipur,26.3162,74.0312,Urban,96,68,0
PHC-026,Bangalore Central Health Centre,Karnataka,Bangalore,15.2007,75.7997,District Hospital,93,57,8
PHC-027,Gaya Central Health Centre,Bihar,Gaya,25.841,86.0456,Rural,125,90,9
PHC-028,Rajkot Central Health Centre,Gujarat,Rajkot,23.1558,70.4159,Urban,21,17,0
PHC-029,Gwalior Rural Health Centre,Madhya Pradesh,Gwalior,22.5472,78.0961,Rural,67,56,7
PHC-030,Kozhikode Central Health Centre,Kerala,Kozhikode,10.0639,76.0308,District Hospital,134,107,7
PHC-031,Warangal Central Health Centre,Telangana,Warangal,17.1885,79.0779,Rural,32,29,0
PHC-032,Cuttack Rural Health Centre,Odisha,Cuttack,20.5064,85.818,Rural,75,53,5
PHC-033,Nashik Rural Health Centre,Maharashtra,Nashik,18.0183,73.0115,District Hospital,37,28,0
PHC-034,Lucknow Central Health Centre,Uttar Pradesh,Lucknow,27.1689,80.4607,District Hospital,141,94,1
PHC-035,Chennai Rural Health Centre,Tamil Nadu,Chennai,10.2861,78.7961,Urban,42,28,0
PHC-036,Malda Rural Health Centre,West Bengal,Malda,22.2599,88.3352,District Hospital,71,53,8
PHC-037,Jaipur Central Health Centre,Rajasthan,Jaipur,26.2091,74.032,Rural,108,91,7
PHC-038,Hubli Rural Health Centre,Karnataka,Hubli,15.0851,74.9285,Urban,100,74,9
PHC-039,Bhagalpur Rural Health Centre,Bihar,Bhagalpur,25.0752,84.6364,District Hospital,94,38,3
PHC-040,Vadodara Central Health Centre,Gujarat,Vadodara,22.857,71.6229,Urban,83,52,5
PHC-041,Bhopal Rural Health Centre,Madhya Pradesh,Bhopal,21.9022,78.5536,Rural,129,98,1
PHC-042,Thrissur Central Health Centre,Kerala,Thrissur,10.3911,75.3091,Rural,150,97,6
PHC-043,Hyderabad Central Health Centre,Telangana,Hyderabad,19.006,79.246,District Hospital,22,14,0
PHC-044,Puri Rural Health Centre,Odisha,Puri,21.8628,85.9082,Urban,65,42,8
PHC-045,Pune Rural Health Centre,Maharashtra,Pune,19.9284,72.4735,Urban,35,24,0
PHC-046,Agra Rural Health Centre,Uttar Pradesh,Agra,26.0451,81.7846,District Hospital,52,32,5
PHC-047,Madurai Central Health Centre,Tamil Nadu,Madurai,10.4522,78.785,District Hospital,110,91,2
PHC-048,Howrah Central Health Centre,West Bengal,Howrah,22.5364,88.4176,District Hospital,28,18,0
PHC-049,Jaipur Central Health Centre,Rajasthan,Jaipur,26.4111,73.58,District Hospital,60,36,5
PHC-050,Bangalore Central Health Centre,Karnataka,Bangalore,16.1056,76.1286,District Hospital,141,95,6
PHC-051,Gaya Rural Health Centre,Bihar,Gaya,25.8417,86.0941,Urban,80,48,7
PHC-052,Vadodara Central Health Centre,Gujarat,Vadodara,21.9731,70.4258,Rural,43,28,0
PHC-053,Bhopal Rural Health Centre,Madhya Pradesh,Bhopal,23.2726,78.8766,District Hospital,68,46,3
PHC-054,Kochi Central Health Centre,Kerala,Kochi,10.2188,76.7471,Rural,21,14,0
PHC-055,Hyderabad Rural Health Centre,Telangana,Hyderabad,17.1395,79.5795,Urban,47,35,0
PHC-056,Puri Rural Health Centre,Odisha,Puri,20.1768,85.2944,Urban,31,18,0
PHC-057,Nashik Central Health Centre,Maharashtra,Nashik,18.1007,72.4454,Urban,102,94,4
PHC-058,Varanasi Central Health Centre,Uttar Pradesh,Varanasi,25.8971,81.7706,Urban,21,20,0
PHC-059,Madurai Central Health Centre,Tamil Nadu,Madurai,10.8174,78.5052,District Hospital,72,70,0
PHC-060,Howrah Central Health Centre,West Bengal,Howrah,22.961,88.7933,District Hospital,75,62,9
PHC-061,Udaipur Rural Health Centre,Rajasthan,Udaipur,26.779,73.4366,District Hospital,123,87,0
PHC-062,Hubli Rural Health Centre,Karnataka,Hubli,14.4396,75.087,Urban,45,30,0
PHC-063,Gaya Central Health Centre,Bihar,Gaya,25.696,85.9131,Rural,148,59,3
PHC-064,Vadodara Rural Health Centre,Gujarat,Vadodara,21.5225,71.7667,Rural,142,134,9
PHC-065,Bhopal Central Health Centre,Madhya Pradesh,Bhopal,23.7202,77.7676,District Hospital,54,35,3
PHC-066,Kochi Central Health Centre,Kerala,Kochi,11.0279,76.242,District Hospital,118,98,6
PHC-067,Warangal Central Health Centre,Telangana,Warangal,18.4632,79.993,Urban,106,89,7
PHC-068,Cuttack Central Health Centre,Odisha,Cuttack,20.8566,85.0815,Urban,52,21,6
PHC-069,Thane Central Health Centre,Maharashtra,Thane,19.3811,72.1201,Urban,32,22,0
PHC-070,Varanasi Central Health Centre,Uttar Pradesh,Varanasi,27.0362,80.0686,Urban,41,17,0
PHC-071,Madurai Central Health Centre,Tamil Nadu,Madurai,10.9742,78.0998,District Hospital,115,74,8
PHC-072,Howrah Rural Health Centre,West Bengal,Howrah,23.5345,88.4565,District Hospital,69,39,4
PHC-073,Udaipur Central Health Centre,Rajasthan,Udaipur,26.2517,73.6653,District Hospital,59,45,1
PHC-074,Bangalore Central Health Centre,Karnataka,Bangalore,14.8119,75.4327,Rural,145,106,9
PHC-075,Gaya Rural Health Centre,Bihar,Gaya,25.2168,85.4263,District Hospital,130,104,5
PHC-076,Ahmedabad Central Health Centre,Gujarat,Ahmedabad,23.0573,71.3678,Rural,78,61,9
